# _tick,_time,frames,mean_episode_return_0,mean_episode_length_0,loss_0,mean_episode_return_1,mean_episode_length_1,loss_1,mean_episode_return_2,mean_episode_length_2,loss_2,mean_episode_return_3,mean_episode_length_3,loss_3
114,1766563560.9046905,364800,-0.6521948575973511,55.825401306152344,0.989048421382904,0.693631112575531,61.73684310913086,0.7208544015884399,-0.6502212882041931,56.13114547729492,0.5011956095695496,0.6480764746665955,105.29412078857422,0.9224340319633484
115,1766563560.9571912,368000,-0.6521948575973511,55.825401306152344,0.989048421382904,0.693631112575531,61.73684310913086,0.7208544015884399,-0.6502212882041931,56.13114547729492,0.5011956095695496,0.6581833958625793,50.47058868408203,0.5311585664749146
116,1766563564.3357904,371200,-0.6521948575973511,55.825401306152344,0.989048421382904,0.7023376822471619,44.37333297729492,0.3684881627559662,-0.6502212882041931,56.13114547729492,0.5011956095695496,0.6581833958625793,50.47058868408203,0.5311585664749146
117,1766563569.6352293,374400,-0.6627344489097595,38.21519088745117,0.984302818775177,0.7023376822471619,44.37333297729492,0.3684881627559662,-0.6502212882041931,56.13114547729492,0.5011956095695496,0.6581833958625793,50.47058868408203,0.5311585664749146
118,1766563570.9091165,377600,-0.6627344489097595,38.21519088745117,0.984302818775177,0.7023376822471619,44.37333297729492,0.3684881627559662,-0.6502212882041931,56.13114547729492,0.5011956095695496,0.6688282489776611,37.88764190673828,0.15824279189109802
119,1766563570.9233708,380800,-0.6627344489097595,38.21519088745117,0.984302818775177,0.7023376822471619,44.37333297729492,0.3684881627559662,-0.6615044474601746,37.41860580444336,0.12014885991811752,0.6688282489776611,37.88764190673828,0.15824279189109802
120,1766563573.738181,384000,-0.6627344489097595,38.21519088745117,0.984302818775177,0.7133621573448181,38.0,0.10381031781435013,-0.6615044474601746,37.41860580444336,0.12014885991811752,0.6688282489776611,37.88764190673828,0.15824279189109802
121,1766563579.3916767,387200,-0.6726539731025696,37.31034469604492,0.9837492108345032,0.7133621573448181,38.0,0.10381031781435013,-0.6615044474601746,37.41860580444336,0.12014885991811752,0.6688282489776611,37.88764190673828,0.15824279189109802
122,1766563579.422016,390400,-0.6726539731025696,37.31034469604492,0.9837492108345032,0.7133621573448181,38.0,0.10381031781435013,-0.6720824241638184,35.806819915771484,0.06365993618965149,0.6688282489776611,37.88764190673828,0.15824279189109802
123,1766563581.0168328,393600,-0.6726539731025696,37.31034469604492,0.9837492108345032,0.7133621573448181,38.0,0.10381031781435013,-0.6720824241638184,35.806819915771484,0.06365993618965149,0.6795111298561096,33.77894973754883,0.08390773832798004
