# _tick,_time,frames,mean_episode_return_0,mean_episode_length_0,loss_0,mean_episode_return_1,mean_episode_length_1,loss_1,mean_episode_return_2,mean_episode_length_2,loss_2,mean_episode_return_3,mean_episode_length_3,loss_3
363,1766559599.5399542,1161600,0.05892256647348404,2117.0,1.00077486038208,-0.02298850752413273,988.5,0.8451566100120544,0.10781893134117126,1692.5,1.0104345083236694,-0.02921810932457447,1325.0,1.0106067657470703
364,1766559603.8416777,1164800,0.05892256647348404,2117.0,1.00077486038208,-0.02298850752413273,988.5,0.8451566100120544,0.11056911200284958,1392.0,0.9863148331642151,-0.02921810932457447,1325.0,1.0106067657470703
365,1766559604.4229937,1168000,0.05892256647348404,2117.0,1.00077486038208,-0.02298850752413273,988.5,0.8451566100120544,0.11056911200284958,1392.0,0.9863148331642151,-0.028861789032816887,1783.5,1.0057400465011597
366,1766559608.9212167,1171200,0.05892256647348404,2117.0,1.00077486038208,-0.02298850752413273,988.5,0.8451566100120544,0.09718876332044601,1268.0,1.007021427154541,-0.028861789032816887,1783.5,1.0057400465011597
367,1766559610.4815354,1174400,0.048333339393138885,1545.0,0.999784529209137,-0.02298850752413273,988.5,0.8451566100120544,0.09718876332044601,1268.0,1.007021427154541,-0.028861789032816887,1783.5,1.0057400465011597
368,1766559611.0331502,1177600,0.048333339393138885,1545.0,0.999784529209137,-0.02298850752413273,988.5,0.8451566100120544,0.09718876332044601,1268.0,1.007021427154541,-0.028514057397842407,1447.0,0.9995313286781311
369,1766559616.4053679,1180800,0.06833332777023315,1468.0,1.0003736019134521,-0.02298850752413273,988.5,0.8451566100120544,0.09718876332044601,1268.0,1.007021427154541,-0.028514057397842407,1447.0,0.9995313286781311
370,1766559616.486144,1184000,0.06833332777023315,1468.0,1.0003736019134521,-0.02298850752413273,988.5,0.8451566100120544,0.09718876332044601,1268.0,1.007021427154541,-0.04007936269044876,1293.0,1.0023889541625977
371,1766559619.3375447,1187200,0.06833332777023315,1468.0,1.0003736019134521,-0.016949156299233437,1180.3333740234375,0.8630804419517517,0.09718876332044601,1268.0,1.007021427154541,-0.04007936269044876,1293.0,1.0023889541625977
372,1766559622.2402787,1190400,0.05500000715255737,2023.5,0.9997555613517761,-0.016949156299233437,1180.3333740234375,0.8630804419517517,0.09718876332044601,1268.0,1.007021427154541,-0.04007936269044876,1293.0,1.0023889541625977
373,1766559623.7893171,1193600,0.05500000715255737,2023.5,0.9997555613517761,-0.016949156299233437,1180.3333740234375,0.8630804419517517,0.09718876332044601,1268.0,1.007021427154541,-0.027843134477734566,1163.0,1.0059698820114136
374,1766559624.2977686,1196800,0.05500000715255737,2023.5,0.9997555613517761,-0.016949156299233437,1180.3333740234375,0.8630804419517517,0.09206349402666092,863.6666870117188,1.0003547668457031,-0.027843134477734566,1163.0,1.0059698820114136
375,1766559629.164974,1200000,0.06499999761581421,2086.5,0.9998212456703186,-0.016949156299233437,1180.3333740234375,0.8630804419517517,0.09206349402666092,863.6666870117188,1.0003547668457031,-0.027843134477734566,1163.0,1.0059698820114136
376,1766559631.6071324,1203200,0.06499999761581421,2086.5,0.9998212456703186,-0.016949156299233437,1180.3333740234375,0.8630804419517517,0.07921568304300308,1408.0,0.9811797738075256,-0.027843134477734566,1163.0,1.0059698820114136
377,1766559632.3843067,1206400,0.06499999761581421,2086.5,0.9998212456703186,-0.016949156299233437,1180.3333740234375,0.8630804419517517,0.07921568304300308,1408.0,0.9811797738075256,-0.023643409833312035,1292.666748046875,1.0017513036727905
378,1766559633.7786863,1209600,0.06499999761581421,2086.5,0.9998212456703186,-0.008333337493240833,1459.75,1.0023778676986694,0.07921568304300308,1408.0,0.9811797738075256,-0.023643409833312035,1292.666748046875,1.0017513036727905
379,1766559634.0110607,1212800,0.06499999761581421,2691.0,0.9997460842132568,-0.008333337493240833,1459.75,1.0023778676986694,0.07921568304300308,1408.0,0.9811797738075256,-0.023643409833312035,1292.666748046875,1.0017513036727905
380,1766559640.4634569,1216000,0.06499999761581421,2028.666748046875,0.999100923538208,-0.008333337493240833,1459.75,1.0023778676986694,0.07921568304300308,1408.0,0.9811797738075256,-0.023643409833312035,1292.666748046875,1.0017513036727905
381,1766559641.0688822,1219200,0.06499999761581421,2028.666748046875,0.999100923538208,-0.008333337493240833,1459.75,1.0023778676986694,0.07829456776380539,1808.0,0.9415183663368225,-0.023643409833312035,1292.666748046875,1.0017513036727905
382,1766559645.248621,1222400,0.07833334058523178,1948.0,0.9986476898193359,-0.008333337493240833,1459.75,1.0023778676986694,0.07829456776380539,1808.0,0.9415183663368225,-0.023643409833312035,1292.666748046875,1.0017513036727905
383,1766559645.9404514,1225600,0.07833334058523178,1948.0,0.9986476898193359,-0.008333337493240833,1459.75,1.0023778676986694,0.07829456776380539,1808.0,0.9415183663368225,-0.019540222361683846,1949.666748046875,0.9982445240020752
384,1766559647.052931,1228800,0.07833334058523178,1948.0,0.9986476898193359,-0.008196724578738213,1390.25,1.0022411346435547,0.07829456776380539,1808.0,0.9415183663368225,-0.019540222361683846,1949.666748046875,0.9982445240020752
385,1766559647.7605064,1232000,0.07833334058523178,1948.0,0.9986476898193359,-0.008196724578738213,1390.25,1.0022411346435547,0.07739463448524475,1149.5,0.9344488382339478,-0.019540222361683846,1949.666748046875,0.9982445240020752
386,1766559651.465052,1235200,0.07833334058523178,1948.0,0.9986476898193359,-0.008196724578738213,1390.25,1.0022411346435547,0.07739463448524475,1149.5,0.9344488382339478,-0.019318174570798874,2084.0,0.9946720600128174
387,1766559656.3182566,1238400,0.07833334058523178,1948.0,0.9986476898193359,-0.008196724578738213,1390.25,1.0022411346435547,0.07083333283662796,1262.5,0.9142723083496094,-0.019318174570798874,2084.0,0.9946720600128174
